,Lever position (lp) [ ],Ship speed (v) [knots],Gas Turbine shaft torque (GTT) [kN m],Gas Turbine rate of revolutions (GTn) [rpm],Gas Generator rate of revolutions (GGn) [rpm],Starboard Propeller Torque (Ts) [kN],Port Propeller Torque (Tp) [kN],HP Turbine exit temperature (T48) [C],GT Compressor inlet air temperature (T1) [C],GT Compressor outlet air temperature (T2) [C],HP Turbine exit pressure (P48) [bar],GT Compressor inlet air pressure (P1) [bar],GT Compressor outlet air pressure (P2) [bar],Gas Turbine exhaust gas pressure (Pexh) [bar],Turbine Injecton Control (TIC) [%],Fuel flow (mf) [kg/s],GT Compressor decay state coefficient.,GT Turbine decay state coefficient.
44,5.14,15,21626.796,1924.326,8471.235,175.268,175.268,697.869,288,633.718,2.087,0.998,11.095,1.027,24.682,0.489,0.988,0.989
45,2.088,6,6776.147,1382.715,6781.712,29.361,29.361,597.101,288,570.486,1.33,0.998,7.169,1.02,4.877,0.253,0.99,0.99
46,7.148,21,38987.569,2678.084,9131.693,332.203,332.203,816.049,288,688.678,2.966,0.998,15.385,1.036,43.247,0.856,0.974,0.997
47,5.14,15,21624.741,1924.327,8465.666,175.205,175.205,691.969,288,631.464,2.089,0.998,11.084,1.027,24.386,0.483,0.996,0.991
48,3.144,9,8375.891,1386.739,7058.948,60.32,60.32,579.484,288,577.801,1.392,0.998,7.503,1.02,12.059,0.239,0.987,0.987
49,5.14,15,21624.931,1924.321,8464.873,175.25,175.25,698.695,288,633.298,2.089,0.998,11.135,1.027,24.755,0.49,0.992,0.986
50,2.088,6,2949.745,1357.034,6841.676,24.582,24.582,507.724,288,560.211,1.2,0.998,6.423,1.019,13.719,0.143,0.96,0.994
51,2.088,6,2899.894,1358.6,6837.879,24.862,24.862,505.815,288,559.928,1.199,0.998,6.42,1.019,12.727,0.14,0.961,0.993
52,6.175,18,29791.896,2307.423,8824.781,246.232,246.232,790.515,288,673.287,2.503,0.998,13.302,1.03,35.186,0.697,0.958,0.98
53,9.3,27,72777.715,3560.411,9764.987,644.855,644.855,1063.691,288,775.589,4.505,0.998,22.373,1.051,87.948,1.741,0.978,0.998
54,1.138,3,1863.578,1313.041,6672.283,5.495,5.495,511.453,288,552,1.152,0.998,6.163,1.019,27.931,0.162,0.97,0.999
55,1.138,3,6535.161,1345.115,6645.39,7.178,7.178,622.931,288,566.742,1.306,0.998,7.016,1.019,19.414,0.294,0.993,0.998
56,5.14,15,21630.951,1924.328,8483.444,175.263,175.263,705.991,288,637.282,2.082,0.998,11.085,1.026,25.067,0.496,0.974,0.988
57,4.161,12,14722.408,1547.466,7785.458,113.784,113.784,629.45,288,604.745,1.657,0.998,8.815,1.023,16.658,0.33,0.974,0.999
58,6.175,18,29793.627,2307.349,8829.721,246.299,246.299,778.479,288,670.311,2.501,0.998,13.187,1.03,34.433,0.682,0.962,0.989
59,6.175,18,29761.639,2306.846,8791.164,246.022,246.022,772.742,288,665.318,2.514,0.998,13.345,1.03,34.279,0.679,0.99,0.981
60,4.161,12,14721.297,1547.455,7751.072,113.77,113.77,651.683,288,609.494,1.661,0.998,9.016,1.022,17.715,0.351,0.969,0.976
61,2.088,6,6891.509,1378.759,6795.927,28.631,28.631,597.981,288,570.463,1.332,0.998,7.147,1.02,7.414,0.257,0.988,0.995
62,8.206,24,50993.567,3087.436,9308.731,437.967,437.967,941.389,288,736.625,3.588,0.998,18.686,1.041,61.818,1.224,0.966,0.975
63,4.161,12,14717.192,1547.443,7700.982,113.731,113.731,632.513,288,602.195,1.666,0.998,8.98,1.023,16.895,0.334,0.998,0.983
64,7.148,21,38985.741,2678.082,9132.61,332.158,332.158,822.337,288,690.717,2.965,0.998,15.418,1.035,43.662,0.864,0.969,0.994
65,3.144,9,8379.326,1386.758,7126.174,60.356,60.356,583.673,288,581.47,1.388,0.998,7.443,1.02,12.191,0.241,0.965,0.994
66,6.175,18,29794.674,2307.318,8834.255,246.318,246.318,785.457,288,672.693,2.5,0.998,13.214,1.03,34.829,0.69,0.955,0.986
67,7.148,21,38981.3,2678.081,9136.539,332.193,332.193,826.026,288,692.734,2.959,0.998,15.379,1.035,43.834,0.868,0.962,0.995
68,4.161,12,14725.046,1547.472,7811.849,113.794,113.794,648.488,288,611.075,1.655,0.998,8.892,1.022,17.5,0.346,0.953,0.988
69,8.206,24,50992.983,3087.442,9297.875,438.077,438.077,900.721,288,723.473,3.598,0.998,18.43,1.042,58.773,1.164,0.999,0.993
70,3.144,9,8376.948,1386.745,7083.888,60.328,60.328,572.88,288,576.719,1.39,0.998,7.438,1.021,11.777,0.233,0.986,0.996
71,4.161,12,14723.284,1547.464,7783.189,113.786,113.786,649.161,288,610.109,1.658,0.998,8.945,1.022,17.563,0.348,0.961,0.983
72,7.148,21,38985.359,2678.087,9133.647,332.116,332.116,817.039,288,689.437,2.964,0.998,15.358,1.036,43.275,0.857,0.971,0.998
73,4.161,12,14717.305,1547.442,7697.804,113.722,113.722,638.19,288,603.623,1.666,0.998,9.022,1.023,17.161,0.34,0.995,0.978
74,6.175,18,29792.047,2307.397,8822.941,246.213,246.213,764.23,288,665.643,2.504,0.998,13.118,1.031,33.604,0.665,0.975,0.996
75,3.144,9,8376.394,1386.742,7059.85,60.326,60.326,594.089,288,582.166,1.391,0.998,7.578,1.02,12.645,0.25,0.974,0.976
76,7.148,21,38984.535,2678.074,9131.457,332.121,332.121,839.575,288,695.381,2.965,0.998,15.574,1.035,44.868,0.888,0.96,0.983
77,8.206,24,50993.916,3087.5,9311.316,438.101,438.101,915.442,288,730.677,3.579,0.998,18.322,1.042,59.611,1.18,0.975,0.994
78,5.14,15,21630.07,1924.314,8477.183,175.236,175.236,714.242,288,638.971,2.084,0.998,11.174,1.026,25.537,0.505,0.973,0.98
79,4.161,12,14722.659,1547.46,7770.916,113.774,113.774,653.135,288,610.699,1.659,0.998,8.991,1.022,17.758,0.352,0.962,0.978
80,4.161,12,14724.806,1547.474,7816.043,113.806,113.806,637.935,288,608.32,1.655,0.998,8.818,1.022,17.014,0.337,0.959,0.997
81,1.138,3,839.08,1374.012,6693.239,8.957,8.957,473.057,288,552.336,1.12,0.998,6.056,1.019,0,0.089,0.955,0.979
82,9.3,27,72757.448,3560.362,9732.149,644.732,644.732,1067.81,288,774.257,4.546,0.998,23.025,1.051,89.155,1.765,0.991,0.977
83,1.138,3,253.547,1339.635,6717.352,7,7,453.57,288,547.048,1.093,0.998,5.832,1.019,10.216,0.078,0.952,0.995
84,3.144,9,8379.256,1386.758,7127.274,60.356,60.356,578.746,288,580.027,1.388,0.998,7.416,1.02,11.992,0.237,0.969,0.998
85,1.138,3,3379.291,1384.755,6625.633,9.485,9.485,536.418,288,557.015,1.219,0.998,6.595,1.019,5.452,0.174,0.996,0.982
86,1.138,3,443.815,1333.07,6656.922,6.637,6.637,472.781,288,549.248,1.101,0.998,5.965,1.019,16.348,0.102,0.959,0.979
87,8.206,24,50993.112,3087.447,9297.566,438.086,438.086,903.429,288,724.105,3.599,0.998,18.467,1.042,59.005,1.168,0.998,0.991
88,3.144,9,8379.449,1386.759,7120.632,60.35,60.35,598.347,288,585.648,1.388,0.998,7.524,1.02,12.779,0.253,0.954,0.982
89,9.3,27,72765.328,3560.397,9756.385,644.74,644.74,1083.9,288,779.842,4.519,0.998,22.796,1.05,90.111,1.784,0.973,0.981
90,2.088,6,6084.109,1351.17,6744.704,23.565,23.565,585.106,288,565.74,1.301,0.998,7.021,1.019,21.011,0.25,0.998,0.99
91,5.14,15,21625.86,1924.331,8470.217,175.215,175.215,693.029,288,632.233,2.087,0.998,11.067,1.027,24.424,0.483,0.992,0.992
92,1.138,3,6783.931,1369.146,6659.23,8.531,8.531,620.74,288,567.571,1.32,0.998,7.076,1.019,7.205,0.285,0.995,0.999
93,1.138,3,6973.826,1337.875,6705.866,6.965,6.965,662.607,288,577.863,1.314,0.998,7.132,1.019,23.789,0.33,0.953,0.989
94,4.161,12,14720.723,1547.455,7747.459,113.759,113.759,644.503,288,607.385,1.661,0.998,8.976,1.022,17.393,0.344,0.975,0.981
95,8.206,24,50994.672,3087.549,9322.349,438.064,438.064,927.442,288,736.61,3.563,0.998,18.231,1.041,60.278,1.193,0.956,0.995
96,7.148,21,38989.125,2678.075,9128.595,332.171,332.171,828.727,288,691.58,2.97,0.998,15.539,1.035,44.186,0.875,0.97,0.987
97,4.161,12,14719.541,1547.453,7738.504,113.747,113.747,631.32,288,603.389,1.662,0.998,8.906,1.023,16.797,0.333,0.987,0.99
98,7.148,21,38988.062,2678.077,9129.586,332.214,332.214,828.378,288,691.72,2.968,0.998,15.519,1.035,44.141,0.874,0.969,0.988
99,2.088,6,3186.809,1351.399,6820.944,23.566,23.566,519.984,288,561.581,1.207,0.998,6.497,1.019,17.33,0.159,0.962,0.989
100,3.144,9,8378.39,1386.753,7103.074,60.34,60.34,590.865,288,582.79,1.389,0.998,7.508,1.02,12.492,0.247,0.965,0.985
101,1.138,3,7129.201,1351.346,6687.976,7.618,7.618,645.765,288,572.94,1.323,0.998,7.118,1.019,16.433,0.315,0.974,0.997
102,7.148,21,38994.977,2678.059,9123.098,332.346,332.346,834.949,288,692.023,2.977,0.998,15.686,1.035,44.73,0.886,0.973,0.979
103,9.3,27,72772.94,3560.423,9787.758,645.069,645.069,1105.089,288,787.42,4.483,0.998,22.484,1.049,91.287,1.807,0.95,0.987
104,6.175,18,29793.694,2307.332,8829.402,246.291,246.291,768.892,288,667.547,2.502,0.998,13.118,1.03,33.853,0.67,0.968,0.995
105,6.175,18,29761.101,2306.774,8802.562,245.923,245.923,783.19,288,669.301,2.51,0.998,13.359,1.03,34.847,0.69,0.976,0.978
106,9.3,27,72762.074,3560.382,9763.89,645.068,645.068,1099.735,288,784.183,4.513,0.998,22.869,1.049,91.426,1.81,0.963,0.976
107,7.148,21,38982.428,2678.082,9135.556,332.104,332.104,824.681,288,692.108,2.961,0.998,15.385,1.035,43.762,0.866,0.964,0.995
108,9.3,27,72762.346,3560.371,9736.828,644.865,644.865,1063.373,288,773.441,4.54,0.998,22.888,1.051,88.62,1.754,0.991,0.982
109,2.088,6,6913.449,1367.24,6823.199,26.553,26.553,635.344,288,580.917,1.327,0.998,7.257,1.019,15.178,0.29,0.951,0.976
110,7.148,21,39011.761,2677.991,9114.403,332.525,332.525,809.285,288,682.558,2.99,0.998,15.638,1.036,43.138,0.854,1,0.987
111,7.148,21,38983.305,2678.087,9135.609,332.204,332.204,818.04,288,690.203,2.961,0.998,15.332,1.036,43.304,0.857,0.968,0.999
112,1.138,3,1713.117,1382.177,6651.623,9.258,9.258,476.529,288,547.428,1.157,0.998,6.178,1.019,1.874,0.105,0.995,0.994
113,1.138,3,1781.74,1399.63,6702.604,10.415,10.415,491.159,288,554.195,1.161,0.998,6.237,1.019,0,0.113,0.968,0.987
114,6.175,18,29763.811,2306.88,8808.754,245.937,245.937,774.925,288,667.501,2.508,0.998,13.265,1.03,34.313,0.679,0.977,0.985
115,7.148,21,38994.323,2678.068,9124.717,332.247,332.247,825.104,288,689.599,2.975,0.998,15.579,1.036,44.019,0.872,0.977,0.986
116,9.3,27,72757.308,3560.364,9738.328,644.693,644.693,1077.145,288,776.961,4.54,0.998,23.034,1.051,89.904,1.78,0.984,0.975
117,4.161,12,14716.951,1547.441,7693.515,113.719,113.719,637.308,288,603.206,1.666,0.998,9.024,1.023,17.126,0.339,0.997,0.978
118,7.148,21,38986.676,2678.085,9132.158,332.131,332.131,818.357,288,689.458,2.966,0.998,15.395,1.036,43.397,0.859,0.972,0.996
119,2.088,6,6337.495,1353.632,6733.941,24.006,24.006,595.099,288,567.385,1.31,0.998,7.099,1.019,20.289,0.26,0.998,0.985
120,6.175,18,29763.627,2306.891,8808.884,245.935,245.935,781.395,288,669.351,2.507,0.998,13.312,1.03,34.705,0.687,0.973,0.981
121,2.088,6,2847.795,1363.658,6829.182,25.773,25.773,502.178,288,559.413,1.198,0.998,6.424,1.019,10.251,0.133,0.964,0.991
122,3.144,9,8376.438,1386.743,7062.7,60.327,60.327,592.009,288,581.657,1.391,0.998,7.563,1.02,12.56,0.249,0.975,0.978
123,8.206,24,50991.207,3087.362,9302.471,438.098,438.098,931.286,288,732.531,3.595,0.998,18.684,1.041,61.151,1.211,0.978,0.977
124,4.161,12,14721.862,1547.463,7774.929,113.774,113.774,631.093,288,604.785,1.659,0.998,8.843,1.023,16.745,0.331,0.976,0.996
125,6.175,18,29791.877,2307.403,8823.109,246.236,246.236,770.556,288,667.47,2.504,0.998,13.164,1.03,33.989,0.673,0.971,0.992
126,3.144,9,8375.113,1386.735,7038.463,60.306,60.306,587.096,288,579.313,1.393,0.998,7.569,1.02,12.377,0.245,0.986,0.978
127,7.148,21,38991.452,2678.067,9125.515,332.202,332.202,838.3,288,693.568,2.973,0.998,15.669,1.035,44.908,0.889,0.968,0.979
128,1.138,3,5577.819,1320.862,6682.358,5.966,5.966,619.351,288,569.106,1.271,0.998,6.849,1.019,29.756,0.287,0.965,0.995
129,8.206,24,50989.581,3087.306,9302.179,437.91,437.91,934.118,288,733.182,3.595,0.998,18.722,1.041,61.391,1.215,0.977,0.975
130,9.3,27,72772.409,3560.421,9783.15,645.081,645.081,1100.379,288,785.912,4.488,0.998,22.51,1.049,90.97,1.801,0.954,0.987
131,3.144,9,8380.079,1386.762,7132.53,60.363,60.363,599.387,288,586.387,1.388,0.998,7.515,1.02,12.813,0.254,0.95,0.983
132,5.14,15,21632.519,1924.314,8483.936,175.262,175.262,720.956,288,641.561,2.082,0.998,11.183,1.026,25.865,0.512,0.964,0.978
133,9.3,27,72778.465,3560.438,9791.331,644.83,644.83,1095.783,288,785.602,4.476,0.998,22.283,1.049,90.302,1.788,0.952,0.995
134,8.206,24,50996.966,3087.614,9321.785,438.015,438.015,935.644,288,738.521,3.566,0.998,18.344,1.041,60.972,1.207,0.953,0.989
135,3.144,9,8379.865,1386.761,7134.601,60.361,60.361,589.22,288,583.433,1.388,0.998,7.461,1.02,12.408,0.246,0.958,0.991
136,2.088,6,6735.345,1361.301,6767.085,25.409,25.409,598.182,288,568.595,1.323,0.998,7.118,1.02,16.706,0.264,0.994,0.993
137,9.3,27,72772.229,3560.406,9751.875,645.031,645.031,1057.274,288,772.974,4.521,0.998,22.538,1.051,87.666,1.735,0.987,0.994
138,5.14,15,21630.64,1924.312,8478.218,175.283,175.283,717.777,288,640.073,2.084,0.998,11.193,1.026,25.721,0.509,0.97,0.978
139,4.161,12,14721.587,1547.459,7762.103,113.771,113.771,642.359,288,607.389,1.66,0.998,8.937,1.022,17.278,0.342,0.972,0.985
140,8.206,24,50992.844,3087.44,9300.086,438.066,438.066,897.267,288,723.117,3.594,0.998,18.346,1.042,58.427,1.157,0.998,0.997
141,4.161,12,14718.295,1547.452,7728.119,113.742,113.742,620.599,288,599.988,1.663,0.998,8.855,1.023,16.31,0.323,0.998,0.997
142,3.144,9,8376.021,1386.739,7065.291,60.319,60.319,573.055,288,576.106,1.391,0.998,7.462,1.021,11.794,0.233,0.991,0.993
143,9.3,27,72766.305,3560.402,9758.387,645.043,645.043,1084.133,288,780.047,4.516,0.998,22.762,1.05,90.083,1.783,0.972,0.982
144,8.206,24,50987.449,3087.221,9297.01,437.955,437.955,926.429,288,729.956,3.602,0.998,18.736,1.042,60.9,1.206,0.987,0.976
145,5.14,15,21639.652,1924.348,8512.109,175.307,175.307,711.43,288,641.758,2.073,0.998,10.971,1.026,25.232,0.499,0.951,0.995
146,5.14,15,21632.906,1924.333,8489.969,175.287,175.287,705.209,288,637.728,2.08,0.998,11.045,1.026,24.996,0.495,0.97,0.991
147,7.148,21,39000.842,2678.056,9121.595,332.288,332.288,808.999,288,684.204,2.98,0.998,15.507,1.036,42.968,0.851,0.991,0.993
148,4.161,12,14719.914,1547.45,7732.938,113.734,113.734,646.678,288,607.387,1.663,0.998,9.015,1.022,17.509,0.347,0.978,0.977
149,2.088,6,5983.41,1349.911,6731.934,23.332,23.332,585.742,288,565.761,1.298,0.998,7.031,1.019,21.795,0.25,0.999,0.986
150,5.14,15,21638.807,1924.352,8510.904,175.322,175.322,706.46,288,640.217,2.074,0.998,10.944,1.026,24.972,0.494,0.955,0.998
151,3.144,9,8379.889,1386.762,7134.339,60.365,60.365,590.478,288,583.799,1.388,0.998,7.468,1.02,12.459,0.247,0.957,0.99
152,4.161,12,14719.083,1547.455,7740.54,113.738,113.738,619.392,288,600.146,1.662,0.998,8.826,1.023,16.24,0.321,0.995,1
153,5.14,15,21628.385,1924.307,8470.8,175.22,175.22,718.103,288,639.394,2.086,0.998,11.235,1.026,25.772,0.51,0.975,0.975
154,4.161,12,14725.015,1547.474,7816.977,113.797,113.797,641.886,288,609.455,1.655,0.998,8.842,1.022,17.194,0.34,0.956,0.994
155,4.161,12,14721.34,1547.463,7771.615,113.77,113.77,625.502,288,603.093,1.659,0.998,8.813,1.023,16.49,0.326,0.981,1
156,6.175,18,29794.147,2307.319,8831.773,246.265,246.265,776.311,288,669.874,2.501,0.998,13.16,1.03,34.29,0.679,0.962,0.991
157,3.144,9,8373.932,1386.721,7015.762,60.291,60.291,586.421,288,578.274,1.394,0.998,7.594,1.02,12.364,0.245,0.993,0.975
158,5.14,15,21631.664,1924.315,8481.971,175.245,175.245,718.379,288,640.632,2.083,0.998,11.177,1.026,25.736,0.509,0.967,0.979
159,1.138,3,3561.31,1382.929,6621.879,9.391,9.391,544.073,288,558.297,1.225,0.998,6.643,1.019,5.958,0.183,0.995,0.98
160,9.3,27,72769.39,3560.411,9751.759,644.937,644.937,1063.942,288,774.616,4.522,0.998,22.625,1.051,88.31,1.748,0.984,0.99
161,2.088,6,3242.44,1379.711,6769.24,28.71,28.71,510.866,288,560.178,1.217,0.998,6.597,1.02,1.627,0.136,0.98,0.977
162,7.148,21,38993.03,2678.064,9124.569,332.329,332.329,835.247,288,692.466,2.975,0.998,15.662,1.035,44.719,0.885,0.971,0.98
163,7.148,21,38995.316,2678.074,9125.953,332.322,332.322,808.25,288,685.035,2.975,0.998,15.424,1.036,42.825,0.848,0.986,0.997
164,1.138,3,7220.794,1376.065,6718.91,9.125,9.125,656.384,288,578.399,1.332,0.998,7.211,1.019,4.215,0.313,0.958,0.989
165,6.175,18,29762.075,2306.767,8800.269,245.954,245.954,766.082,288,664.228,2.511,0.998,13.245,1.031,33.821,0.67,0.988,0.988
166,4.161,12,14725.902,1547.478,7833.919,113.818,113.818,637.679,288,608.954,1.653,0.998,8.787,1.022,16.983,0.336,0.954,1
167,8.206,24,50993.798,3087.486,9306.226,438.082,438.082,913.857,288,728.975,3.587,0.998,18.409,1.042,59.624,1.18,0.982,0.991
168,3.144,9,8377.224,1386.747,7083.336,60.336,60.336,584.326,288,580.129,1.39,0.998,7.498,1.02,12.241,0.242,0.976,0.987
169,6.175,18,29794.639,2307.322,8834.383,246.248,246.248,788.728,288,673.63,2.499,0.998,13.238,1.03,35.025,0.693,0.953,0.984
170,8.206,24,50996.612,3087.555,9317.941,438.131,438.131,951.441,288,741.443,3.577,0.998,18.636,1.041,62.4,1.235,0.951,0.975
171,6.175,18,29795.666,2307.288,8837.291,246.324,246.324,780.558,288,671.568,2.499,0.998,13.162,1.03,34.517,0.683,0.956,0.99
172,4.161,12,14717.142,1547.443,7699.06,113.728,113.728,633.38,288,602.355,1.666,0.998,8.989,1.023,16.938,0.335,0.998,0.982
173,6.175,18,29790.194,2307.469,8816.603,246.265,246.265,759.627,288,663.761,2.507,0.998,13.118,1.031,33.357,0.66,0.982,0.997
174,1.138,3,5273.378,1349.807,6628.179,7.531,7.531,608.769,288,567.25,1.271,0.998,6.929,1.019,19.051,0.266,0.982,0.98
175,3.144,9,8375.409,1386.737,7041.845,60.314,60.314,591.75,288,580.812,1.392,0.998,7.588,1.02,12.562,0.249,0.981,0.975
176,8.206,24,50995.348,3087.57,9319.764,438.119,438.119,931.863,288,737.052,3.568,0.998,18.337,1.041,60.715,1.202,0.957,0.99
177,7.148,21,38998.912,2678.048,9120.73,332.354,332.354,829.937,288,690.017,2.98,0.998,15.689,1.036,44.436,0.88,0.979,0.98
178,6.175,18,29792.308,2307.395,8825.545,246.267,246.267,781.232,288,670.726,2.503,0.998,13.23,1.03,34.623,0.685,0.963,0.986
179,4.161,12,14724.684,1547.474,7817.455,113.783,113.783,634.471,288,607.411,1.655,0.998,8.794,1.023,16.854,0.334,0.961,1
180,3.144,9,8380.161,1386.763,7143.132,60.368,60.368,583.094,288,581.898,1.388,0.998,7.42,1.02,12.158,0.241,0.961,0.997
181,4.161,12,14718.226,1547.446,7712.456,113.737,113.737,638.649,288,604.351,1.665,0.998,8.999,1.023,17.165,0.34,0.99,0.98
