,make,model,priceUSD,year,condition,mileage(kilometers),fuel_type,volume(cm3),color,transmission,drive_unit,segment
52,opel,vectra,6500,2007,with mileage,313000.0,diesel,1900.0,silver,mechanics,front-wheel drive,D
53,mazda,mpv,3803,2000,with mileage,300000.0,petrol,2500.0,red,auto,,M
54,audi,a6,10300,2006,with mileage,270000.0,diesel,2700.0,silver,mechanics,front-wheel drive,E
55,nissan,patrol,6500,1989,with mileage,777777.0,diesel,4200.0,green,mechanics,part-time four-wheel drive,J
56,citroen,c4-grand-picasso,6500,2009,with mileage,225000.0,petrol,1600.0,other,auto,front-wheel drive,C
57,lexus,rc,29999,2016,with mileage,26500.0,petrol,2000.0,white,auto,rear drive,
58,volvo,s80,14000,2012,with mileage,150000.0,petrol,2500.0,other,auto,front-wheel drive,E
59,land-rover,range-rover,10300,2006,with mileage,165000.0,petrol,4200.0,black,auto,all-wheel drive,J
60,bmw,3-seriya,10500,2007,with mileage,170000.0,diesel,2000.0,blue,mechanics,rear drive,D
61,volkswagen,touareg,8000,2003,with mileage,217000.0,petrol,4200.0,black,auto,all-wheel drive,J
62,opel,zafira,6700,2007,with mileage,196000.0,petrol,1800.0,silver,mechanics,front-wheel drive,M
63,saab,9-5,2000,1999,with mileage,280000.0,petrol,2300.0,blue,auto,front-wheel drive,E
64,bmw,3-seriya,3950,2000,with mileage,320000.0,petrol,1900.0,black,mechanics,rear drive,D
65,nissan,bluebird,600,1988,with mileage,350000.0,petrol,2000.0,red,mechanics,front-wheel drive,C
66,mitsubishi,outlander,9200,2007,with mileage,370000.0,diesel,2000.0,other,mechanics,part-time four-wheel drive,J
67,volkswagen,touran,7300,2007,with mileage,218847.0,diesel,2000.0,blue,mechanics,front-wheel drive,M
68,volvo,xc70,4900,2002,with mileage,242000.0,petrol,2400.0,gray,auto,all-wheel drive,J
69,opel,meriva,7666,2010,with mileage,157000.0,petrol,1400.0,gray,mechanics,front-wheel drive,M
70,bmw,7-seriya,13500,2009,with mileage,97000.0,petrol,3000.0,black,auto,rear drive,F
71,ford,focus,7300,2012,with mileage,131000.0,petrol,1600.0,black,auto,front-wheel drive,C
72,gaz,69,2000,1954,with mileage,150000.0,petrol,2500.0,green,mechanics,all-wheel drive,
73,honda,fit,11199,2015,with mileage,35400.0,petrol,1500.0,red,auto,front-wheel drive,B
74,kia,soul,12800,2014,with mileage,36000.0,petrol,1600.0,black,mechanics,front-wheel drive,
75,volkswagen,passat,4100,2000,with mileage,275000.0,petrol,1800.0,blue,auto,front-wheel drive,D
76,volkswagen,transporter,10500,2001,with mileage,340000.0,diesel,2500.0,green,mechanics,all-wheel drive,M
77,mazda,626,2300,1998,with mileage,370000.0,petrol,2000.0,blue,mechanics,front-wheel drive,C
78,mazda,3,5450,2006,with mileage,200000.0,petrol,1600.0,silver,auto,front-wheel drive,C
79,kia,clarus,1500,2000,with mileage,140000.0,petrol,2000.0,black,mechanics,front-wheel drive,D
80,audi,a6,3200,1996,with mileage,475000.0,petrol,1800.0,white,mechanics,front-wheel drive,E
81,opel,mokka,13450,2014,with mileage,132000.0,petrol,1800.0,brown,auto,part-time four-wheel drive,J
82,audi,a4,13000,2013,with mileage,187000.0,petrol,1800.0,black,auto,front-wheel drive,D
83,mercedes-benz,viano,20450,2009,with mileage,263000.0,diesel,2200.0,gray,auto,rear drive,M
84,mitsubishi,carisma,1800,1996,with mileage,340000.0,petrol,1600.0,blue,mechanics,front-wheel drive,M
85,audi,a4,3300,1998,with mileage,411000.0,petrol,1600.0,blue,mechanics,front-wheel drive,D
86,opel,vectra,5100,2003,with mileage,340.0,diesel,2200.0,black,mechanics,front-wheel drive,D
87,citroen,xsara,1750,1999,with mileage,200000.0,petrol,1800.0,green,auto,front-wheel drive,C
88,citroen,c3-picasso,6999,2011,with mileage,135800.0,petrol,1400.0,black,mechanics,front-wheel drive,M
89,honda,civic,1200,1992,with mileage,420000.0,petrol,1300.0,black,mechanics,front-wheel drive,C
90,ssangyong,musso,3700,2002,with mileage,260000.0,diesel,2300.0,black,auto,part-time four-wheel drive,
91,lexus,rx,8000,2005,with mileage,275197.14,petrol,3300.0,black,auto,part-time four-wheel drive,J
92,geely,emgrand-x7,5999,2014,with mileage,145000.0,petrol,2400.0,silver,auto,front-wheel drive,
93,opel,astra,300,1995,with mileage,283000.0,petrol,1600.0,purple,mechanics,front-wheel drive,C
94,hyundai,accent,700,1995,with mileage,330000.0,petrol,1300.0,red,mechanics,front-wheel drive,B
95,renault,duster,11000,2016,with mileage,36000.0,petrol,1998.0,black,mechanics,all-wheel drive,J
96,fiat,marea,1700,1997,with mileage,222222.0,diesel,1900.0,burgundy,mechanics,front-wheel drive,C
97,peugeot,308,11450,2015,with mileage,159000.0,diesel,1600.0,other,mechanics,front-wheel drive,C
98,audi,100,3100,1993,with mileage,300000.0,petrol,2300.0,white,mechanics,front-wheel drive,E
99,renault,laguna,1050,1999,with mileage,400000.0,diesel,1900.0,other,mechanics,front-wheel drive,D
100,ford,c-max,6299,2007,with mileage,217000.0,diesel,1600.0,blue,mechanics,front-wheel drive,M
101,renault,19,261,1990,with mileage,457876.0,petrol,1700.0,black,mechanics,front-wheel drive,C
102,audi,a6,4800,1999,with mileage,175000.0,petrol,2700.0,silver,mechanics,all-wheel drive,E
103,audi,100,1550,1994,with mileage,370000.0,petrol,2000.0,red,mechanics,front-wheel drive,E
104,peugeot,306,1500,1993,with mileage,4000.0,petrol,1400.0,red,mechanics,front-wheel drive,C
105,nissan,sunny,300,1993,for parts,315000.0,petrol,1400.0,green,mechanics,front-wheel drive,
106,bmw,7-seriya,7500,1997,with mileage,389000.0,petrol,5400.0,black,auto,rear drive,F
107,mazda,323,850,1996,with damage,260000.0,petrol,1500.0,white,mechanics,front-wheel drive,C
108,hyundai,i40,11100,2014,with mileage,125000.0,petrol,2000.0,gray,auto,front-wheel drive,D
109,peugeot,308,6400,2008,with mileage,192000.0,diesel,1600.0,black,mechanics,front-wheel drive,C
110,kia,shuma,1000,2001,with mileage,137500.0,petrol,1800.0,green,auto,front-wheel drive,
111,toyota,hiace,3000,1995,with mileage,448148.0,diesel,2400.0,white,mechanics,,
112,nissan,x-trail,20700,2015,with mileage,157000.0,diesel,1598.0,other,auto,front-wheel drive,J
113,audi,q3,16500,2011,with mileage,100175.0,petrol,2000.0,white,auto,all-wheel drive,J
114,mitsubishi,pajero,22000,2013,with mileage,160000.0,diesel,3200.0,black,auto,part-time four-wheel drive,J
115,fiat,palio,1245,2000,with mileage,300000.0,petrol,1200.0,silver,mechanics,front-wheel drive,B
116,citroen,c4,7500,2014,with mileage,103000.0,petrol,1600.0,black,auto,front-wheel drive,C
117,mazda,3,4100,2005,with mileage,257494.4,petrol,2300.0,blue,mechanics,front-wheel drive,C
118,volkswagen,passat,4500,1998,with mileage,389000.0,diesel,1900.0,blue,mechanics,front-wheel drive,D
119,volkswagen,golf,4350,2003,with mileage,245000.0,petrol,1600.0,blue,mechanics,front-wheel drive,C
120,ford,explorer,1600,1995,with mileage,400000.0,petrol,4000.0,blue,auto,part-time four-wheel drive,J
121,volkswagen,passat-cc,8888,2010,with mileage,189000.0,petrol,1799.0,brown,mechanics,front-wheel drive,D
122,renault,laguna,1700,1998,with mileage,360000.0,diesel,1900.0,green,mechanics,front-wheel drive,D
123,bmw,3-seriya,5350,2001,with mileage,320000.0,diesel,2000.0,silver,auto,rear drive,D
124,renault,scenic,2350,1998,with mileage,260000.0,petrol,2000.0,white,mechanics,front-wheel drive,M
125,mercedes-benz,c-klass,900,1997,with mileage,450000.0,petrol,1800.0,blue,mechanics,rear drive,D
126,audi,100,1350,1986,with mileage,555555.0,petrol,2000.0,gray,mechanics,front-wheel drive,E
127,nissan,primera,1550,1998,with mileage,365000.0,petrol,1600.0,silver,mechanics,front-wheel drive,D
128,hyundai,solaris,11890,2017,with mileage,32000.0,petrol,1600.0,black,auto,front-wheel drive,B
129,audi,80,3000,1986,with mileage,330000.0,petrol,1800.0,silver,mechanics,all-wheel drive,D
130,daewoo,nubira,1350,1998,with mileage,123000.0,petrol,1600.0,silver,mechanics,front-wheel drive,C
131,bmw,5-seriya,3500,1998,with mileage,316017.0,petrol,2300.0,black,mechanics,rear drive,E
132,opel,insignia,9700,2010,with mileage,229819.0,diesel,2000.0,black,auto,front-wheel drive,D
133,ford,mondeo,1600,1995,with mileage,400000.0,diesel,1800.0,blue,mechanics,front-wheel drive,D
134,volkswagen,polo,1100,1995,with mileage,212200.0,petrol,1000.0,green,mechanics,front-wheel drive,B
135,mercedes-benz,e-klass,20350,2013,with mileage,69300.0,petrol,2000.0,brown,auto,rear drive,E
136,audi,tt,7100,2000,with mileage,276000.0,petrol,1800.0,black,mechanics,all-wheel drive,
137,hyundai,i30,8150,2011,with mileage,150000.0,petrol,1400.0,white,mechanics,front-wheel drive,C
138,jaguar,xf,12950,2010,with mileage,135000.0,diesel,3000.0,black,auto,rear drive,
139,mercedes-benz,s-klass,2500,1993,with mileage,560000.0,petrol,2800.0,blue,auto,rear drive,S
140,volvo,s40,2900,2002,with mileage,17881.37674,petrol,2000.0,red,auto,front-wheel drive,C
141,mercedes-benz,cl,17900,2009,with mileage,255000.0,petrol,5500.0,black,auto,all-wheel drive,F
142,rover,600,950,1995,with mileage,400000.0,diesel,2000.0,green,mechanics,front-wheel drive,E
143,volkswagen,passat,14800,2015,with mileage,180000.0,diesel,2000.0,black,mechanics,front-wheel drive,D
144,audi,a6,6000,2003,with mileage,384000.0,diesel,2500.0,gray,mechanics,front-wheel drive,E
145,mazda,6,3500,2003,with mileage,340000.0,petrol,2000.0,red,mechanics,front-wheel drive,D
146,bmw,3-seriya,4800,2002,with mileage,347000.0,diesel,2000.0,black,mechanics,rear drive,D
147,volkswagen,multivan,5000,1992,with mileage,185000.0,diesel,2400.0,blue,mechanics,front-wheel drive,M
148,volkswagen,caddy,6500,2011,with mileage,180000.0,petrol,1200.0,gray,mechanics,front-wheel drive,M
149,volvo,s40,5990,2007,with mileage,170000.0,petrol,1600.0,other,mechanics,front-wheel drive,C
150,peugeot,307,3000,2004,with mileage,318000.0,diesel,2000.0,white,mechanics,front-wheel drive,C
151,peugeot,408,7500,2013,with mileage,85000.0,petrol,1600.0,white,mechanics,,C
152,skoda,octavia,14800,2018,with mileage,42000.0,petrol,1600.0,white,auto,front-wheel drive,C
153,bmw,3-seriya,11800,2007,with mileage,245000.0,petrol,3000.0,gray,auto,all-wheel drive,D
154,hyundai,i40,13500,2014,with mileage,110000.0,petrol,2000.0,white,auto,front-wheel drive,D
155,seat,ibiza,1234,1997,with mileage,209000.0,petrol,1000.0,red,mechanics,front-wheel drive,B
156,citroen,xsara,2000,1999,with mileage,251000.0,petrol,1800.0,silver,mechanics,front-wheel drive,C
157,nissan,note,4900,2006,with mileage,150000.0,diesel,1500.0,silver,mechanics,front-wheel drive,M
158,rover,400,1000,1998,with mileage,201000.0,petrol,1400.0,silver,mechanics,front-wheel drive,B
159,volkswagen,golf,1700,1992,with mileage,75000.0,petrol,1400.0,other,mechanics,front-wheel drive,C
160,volkswagen,sharan,3000,1997,with mileage,626050.0,petrol,2000.0,burgundy,mechanics,front-wheel drive,
161,fiat,marea,1000,1998,with mileage,300000.0,petrol,2000.0,black,mechanics,front-wheel drive,C
162,kia,sorento,24450,2016,with mileage,119000.0,diesel,2000.0,gray,auto,all-wheel drive,J
163,citroen,berlingo,6300,2008,with mileage,78000.0,petrol,1600.0,other,mechanics,front-wheel drive,M
164,volkswagen,polo-sedan,6500,2010,with mileage,150000.0,petrol,1600.0,white,mechanics,front-wheel drive,B
165,suzuki,sx4,4990,2007,with mileage,180000.0,petrol,1600.0,gray,mechanics,front-wheel drive,J
166,mitsubishi,l200,14750,2013,with mileage,255182.0,diesel,2500.0,black,auto,all-wheel drive,
167,volkswagen,passat,2800,1991,with mileage,309000.0,diesel,1900.0,blue,mechanics,front-wheel drive,D
168,rover,75,3550,1999,with mileage,320000.0,diesel,2000.0,blue,mechanics,front-wheel drive,E
169,volkswagen,passat,8500,2007,with mileage,270000.0,diesel,1900.0,green,mechanics,front-wheel drive,D
170,bmw,5-seriya,6000,2003,with mileage,345000.0,petrol,2200.0,gray,auto,rear drive,E
171,volkswagen,caravelle,9500,2002,with mileage,360.0,diesel,2500.0,purple,mechanics,front-wheel drive,M
172,mazda,6,4400,2002,with mileage,390000.0,diesel,2000.0,gray,mechanics,front-wheel drive,D
173,opel,signum,5500,2004,with mileage,388000.0,diesel,1900.0,silver,mechanics,,D
174,audi,a8,8000,2005,with mileage,267000.0,petrol,4200.0,black,auto,all-wheel drive,F
175,audi,100,850,1986,with mileage,38000.0,petrol,2200.0,other,mechanics,front-wheel drive,E
176,volvo,xc90,8271,2004,with mileage,270.0,petrol,2500.0,silver,auto,part-time four-wheel drive,J
177,lexus,rx,9800,2004,with mileage,293000.0,petrol,3300.0,other,auto,front-wheel drive,J
178,fiat,sedici,6500,2008,with mileage,123000.0,petrol,1600.0,other,mechanics,part-time four-wheel drive,
179,ford,mondeo,1250,1996,with mileage,346719.0,petrol,1800.0,silver,mechanics,front-wheel drive,D
180,bmw,x5,23000,2010,with mileage,160000.0,diesel,3000.0,brown,auto,all-wheel drive,J
181,audi,a6,24400,2016,with mileage,159000.0,diesel,2000.0,black,auto,front-wheel drive,E
182,volkswagen,golf,750,1991,with mileage,999999.0,diesel,1600.0,white,mechanics,front-wheel drive,C
183,volkswagen,caravelle,18500,2010,with mileage,181000.0,diesel,2000.0,silver,auto,,M
184,changan,cs35,9999,2017,with mileage,54000.0,petrol,1600.0,white,mechanics,front-wheel drive,
185,citroen,c4-picasso,7199,2007,with mileage,309100.0,diesel,1600.0,gray,mechanics,front-wheel drive,C
186,volkswagen,golf,1000,1989,with mileage,372109.0,petrol,1300.0,red,mechanics,front-wheel drive,C
187,skoda,fabia,5500,2010,with mileage,205000.0,diesel,1400.0,silver,mechanics,front-wheel drive,B
188,skoda,octavia,8700,2012,with mileage,150000.0,petrol,1800.0,black,auto,,C
189,bmw,x3,10500,2007,with mileage,101350.0,petrol,3000.0,black,auto,all-wheel drive,J
190,peugeot,406,2950,2000,with mileage,410000.0,petrol,2200.0,silver,mechanics,front-wheel drive,D
191,mercedes-benz,b-klass,9000,2010,with mileage,160000.0,petrol,2000.0,white,auto,front-wheel drive,M
192,mazda,6,8100,2007,with mileage,280000.0,petrol,1800.0,burgundy,mechanics,front-wheel drive,D
193,volkswagen,fox,3850,2005,with mileage,104000.0,petrol,1200.0,black,mechanics,front-wheel drive,A
194,mazda,626,2500,1998,with mileage,420000.0,petrol,1800.0,green,mechanics,front-wheel drive,C
195,audi,a6,18650,2014,with mileage,137000.0,petrol,2000.0,black,auto,front-wheel drive,E
196,ford,mondeo,2200,2003,with mileage,390000.0,petrol,2000.0,white,mechanics,front-wheel drive,D
197,peugeot,605,650,1992,with mileage,111111.0,diesel,2100.0,burgundy,mechanics,front-wheel drive,E
198,renault,laguna,600,1996,with mileage,1111111.0,petrol,2000.0,burgundy,mechanics,,D
199,fiat,linea,6350,2012,with mileage,131600.0,petrol,1400.0,burgundy,mechanics,front-wheel drive,
200,peugeot,406,2000,1999,with mileage,417500.0,petrol,1800.0,gray,mechanics,front-wheel drive,D
201,skoda,octavia,13500,2015,with mileage,118000.0,diesel,1600.0,black,mechanics,front-wheel drive,C
202,kia,clarus,900,1998,with mileage,230000.0,petrol,1800.0,green,mechanics,front-wheel drive,D
203,volkswagen,caravelle,4500,1995,with mileage,500000.0,diesel,1900.0,white,mechanics,front-wheel drive,M
204,peugeot,605,1400,1997,with mileage,30000.0,diesel,2100.0,blue,mechanics,front-wheel drive,E
205,chevrolet,aveo,3950,2007,with mileage,270.0,petrol,1600.0,gray,mechanics,front-wheel drive,B
206,ford,escape,17100,2018,with mileage,12000.0,petrol,1500.0,black,auto,front-wheel drive,J
207,mercedes-benz,e-klass,5600,2001,with mileage,383000.0,diesel,2700.0,black,mechanics,rear drive,E
208,opel,astra,5850,2006,with mileage,155000.0,petrol,1800.0,other,mechanics,front-wheel drive,C
209,bmw,3-seriya,2950,1998,with mileage,477000.0,petrol,1800.0,blue,mechanics,rear drive,D
210,renault,scenic,2100,1997,with mileage,176000.0,petrol,1600.0,blue,mechanics,front-wheel drive,M
211,hyundai,santa-fe,15400,2011,with mileage,206800.0,diesel,2200.0,brown,auto,part-time four-wheel drive,J
212,audi,q7,10999,2007,with mileage,175000.0,petrol,4200.0,black,auto,all-wheel drive,J
213,peugeot,207,4900,2007,with mileage,103000.0,petrol,1600.0,other,auto,front-wheel drive,B
214,audi,a6,10500,2009,with mileage,223000.0,petrol,2000.0,black,auto,front-wheel drive,E
215,land-rover,freelander,12000,2010,with mileage,230000.0,diesel,2200.0,other,mechanics,,J
216,mazda,6,7800,2008,with mileage,114000.0,petrol,2000.0,silver,mechanics,front-wheel drive,D
217,jaguar,xj,32000,2008,with mileage,220000.0,petrol,4200.0,white,auto,rear drive,
218,toyota,auris,11550,2016,with mileage,113631.0,petrol,1400.0,silver,mechanics,front-wheel drive,C
219,volkswagen,passat,16900,2015,with mileage,105000.0,diesel,1600.0,black,mechanics,front-wheel drive,D
220,toyota,avensis,8000,2006,with mileage,305000.0,petrol,1800.0,silver,mechanics,front-wheel drive,D
221,peugeot,partner,5500,2010,with mileage,397.0,petrol,1600.0,burgundy,mechanics,front-wheel drive,M
222,toyota,avensis,6600,2006,with mileage,262000.0,diesel,2200.0,silver,mechanics,front-wheel drive,D
223,mazda,626,1900,2001,with mileage,318649.32,petrol,2000.0,green,auto,front-wheel drive,C
224,hyundai,santa-fe,13500,2010,with mileage,128000.0,petrol,2400.0,other,auto,front-wheel drive,J
225,peugeot,3008,9090,2011,with mileage,130000.0,petrol,1600.0,blue,mechanics,front-wheel drive,C
226,hyundai,sonata,9900,2011,with mileage,173000.0,petrol,2000.0,white,auto,front-wheel drive,D
227,audi,100,1100,1992,with mileage,430000.0,petrol,2300.0,white,mechanics,front-wheel drive,E
228,audi,a6,7500,2004,with mileage,251000.0,petrol,2700.0,gray,auto,all-wheel drive,E
229,opel,zafira,4450,2002,with mileage,0.0,diesel,2000.0,black,mechanics,front-wheel drive,M
230,volkswagen,passat,16350,2015,with mileage,161000.0,diesel,1600.0,gray,mechanics,front-wheel drive,D
231,renault,symbol,3900,2009,with mileage,75000.0,petrol,1600.0,black,mechanics,front-wheel drive,
232,volkswagen,sharan,13500,2010,with mileage,197500.0,diesel,2000.0,blue,mechanics,front-wheel drive,
233,honda,cr-v,4499,2000,with mileage,380001.0,petrol,2000.0,black,auto,all-wheel drive,J
234,volkswagen,passat,6200,2009,with mileage,245000.0,petrol,1600.0,brown,mechanics,front-wheel drive,D
235,toyota,corolla-verso,5100,2001,with mileage,297000.0,diesel,2000.0,green,mechanics,front-wheel drive,M
236,bmw,3-seriya,1450,1992,with mileage,145000.0,petrol,1600.0,green,mechanics,rear drive,D
237,peugeot,308,5800,2010,with mileage,125000.0,petrol,1600.0,black,mechanics,front-wheel drive,C
238,ford,focus,9499,2014,with mileage,44000.0,petrol,1600.0,black,auto,front-wheel drive,C
239,nissan,teana,13300,2014,with mileage,139000.0,petrol,2500.0,silver,auto,front-wheel drive,D
240,seat,leon,6699,2009,with mileage,163000.0,petrol,1400.0,gray,mechanics,front-wheel drive,C
241,volkswagen,passat,5900,2005,with mileage,340.0,diesel,2000.0,black,mechanics,front-wheel drive,D
242,cadillac,escalade,8000,2001,with mileage,300000.0,petrol,6000.0,black,auto,all-wheel drive,J
243,mazda,626,450,1995,for parts,300000.0,petrol,1800.0,green,mechanics,front-wheel drive,C
244,subaru,forester,10000,2006,with mileage,175000.0,petrol,2500.0,black,auto,all-wheel drive,J
245,mazda,626,1850,1999,with mileage,342500.0,diesel,2000.0,silver,mechanics,front-wheel drive,C
246,opel,vectra,6700,2007,with mileage,299000.0,petrol,1800.0,gray,auto,front-wheel drive,D
247,opel,zafira,5250,2002,with mileage,310481.0,diesel,2000.0,green,mechanics,front-wheel drive,M
248,hyundai,accent,6550,2012,with mileage,165000.0,petrol,1600.0,gray,mechanics,front-wheel drive,B
249,volkswagen,passat,16250,2016,with mileage,188000.0,diesel,2000.0,black,mechanics,front-wheel drive,D
250,mazda,626,600,1987,with mileage,1.0,petrol,2000.0,white,mechanics,,C
251,renault,espace,5400,2003,with mileage,360000.0,diesel,1900.0,black,mechanics,front-wheel drive,J
252,renault,megane,10650,2016,with mileage,162000.0,diesel,1500.0,gray,mechanics,front-wheel drive,C
253,lada-vaz,2106,650,1992,with mileage,85000.0,petrol,1300.0,other,mechanics,rear drive,B
254,audi,80,1400,1991,with mileage,350000.0,diesel,1600.0,blue,mechanics,front-wheel drive,D
255,citroen,c3,3250,2003,with mileage,260000.0,diesel,1400.0,blue,mechanics,front-wheel drive,B
256,volkswagen,golf,5850,2007,with mileage,264000.0,petrol,1600.0,blue,auto,front-wheel drive,C
257,kia,carens,5250,2006,with mileage,176000.0,petrol,2000.0,blue,mechanics,front-wheel drive,M
258,toyota,corolla-verso,11450,2008,with mileage,212900.0,petrol,1800.0,black,mechanics,front-wheel drive,M
259,volkswagen,passat,11800,2012,with mileage,132373.0,petrol,1800.0,black,auto,front-wheel drive,D
260,audi,a6-allroad,10050,2008,with mileage,230000.0,petrol,3200.0,other,auto,all-wheel drive,E
261,audi,s5,16000,2008,with mileage,107000.0,petrol,4200.0,black,mechanics,all-wheel drive,J
262,renault,espace,3800,2000,with mileage,430000.0,diesel,2200.0,blue,mechanics,front-wheel drive,J
263,mazda,6,4300,2005,with mileage,208000.0,petrol,2000.0,green,mechanics,front-wheel drive,D
264,volkswagen,golf,1800,1996,with mileage,128500.0,petrol,1600.0,black,mechanics,front-wheel drive,C
265,opel,vectra,600,1991,with mileage,350000.0,diesel,1700.0,white,mechanics,front-wheel drive,D
266,audi,100,3250,1994,with mileage,250000.0,petrol,2600.0,blue,auto,front-wheel drive,E
267,citroen,xsara-picasso,2662,2000,with mileage,205000.0,petrol,1800.0,silver,mechanics,front-wheel drive,C
268,bmw,x6,33000,2011,with mileage,92000.0,petrol,3500.0,black,auto,all-wheel drive,J
269,alfa-romeo,156,1200,1997,with mileage,350.0,petrol,1800.0,silver,mechanics,front-wheel drive,D
270,mercedes-benz,c-klass,6150,2005,with mileage,178800.0,petrol,1800.0,black,auto,rear drive,D
